"","Year","Period","Geo Level","State","Market","Action","Measure","Metric","Value"
"18",2023,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN TONS","1,378,000"
"19",2023,"YEAR","NATIONAL","US TOTAL","YIELD",NA,NA,"MEASURED IN CWT / ACRE","485"
"20",2023,"YEAR","NATIONAL","US TOTAL","YIELD",NA,NA,"MEASURED IN TONS / ACRE","24.26"
"21",2023,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED","10 YEAR AVG FOR PARITY PURPOSES","MEASURED IN $ / CWT","120"
"22",2023,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED","10 YEAR AVG","MEASURED IN $ / CWT","120"
"23",2023,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED","ADJUSTED BASE","MEASURED IN $ / CWT","10.8"
"24",2023,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","3,173,579,000"
"25",2023,"YEAR","NATIONAL","US TOTAL","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","22,382,200"
"26",2023,"YEAR","NATIONAL","US TOTAL","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","33,400"
"27",2023,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED","10 YEAR AVG FOR PARITY PURPOSES","MEASURED IN $ / TON","44.4"
"28",2023,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED","10 YEAR AVG","MEASURED IN $ / TON","44.4"
"29",2023,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED","ADJUSTED BASE","MEASURED IN $ / TON","4.05"
"30",2023,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRODUCTION",NA,"MEASURED IN $","225,364,000"
"31",2023,"YEAR","NATIONAL","US TOTAL","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","5,144,400"
"32",2023,"YEAR","NATIONAL","US TOTAL","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","27,526,600"
"33",2023,"YEAR","NATIONAL","US TOTAL","UTILIZED","PRODUCTION",NA,"MEASURED IN TONS","1,376,330"
"34",2023,"YEAR","STATE","CALIFORNIA","ACRES HARVESTED",NA,NA,NA,"42,700"
"35",2023,"YEAR","STATE","CALIFORNIA","ACRES PLANTED",NA,NA,NA,"43,100"
"36",2023,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"MEASURED IN $","2,965,387,000"
"37",2023,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"MEASURED IN CWT","24,600,000"
"38",2023,"YEAR","STATE","CALIFORNIA","YIELD",NA,NA,"MEASURED IN CWT / ACRE","575"
"39",2023,"YEAR","STATE","CALIFORNIA","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","(D)"
"40",2023,"YEAR","STATE","CALIFORNIA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"41",2023,"YEAR","STATE","CALIFORNIA","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","24,600"
"42",2023,"YEAR","STATE","CALIFORNIA","PROCESSING","PRODUCTION",NA,"MEASURED IN $","(D)"
"43",2023,"YEAR","STATE","CALIFORNIA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"44",2023,"YEAR","STATE","CALIFORNIA","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","24,575,400"
"45",2023,"YEAR","STATE","FLORIDA","ACRES HARVESTED",NA,NA,NA,"14,100"
"46",2023,"YEAR","STATE","FLORIDA","ACRES PLANTED",NA,NA,NA,"14,200"
"47",2023,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"MEASURED IN $","433,556,000"
"48",2023,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"MEASURED IN CWT","2,960,000"
"49",2023,"YEAR","STATE","FLORIDA","YIELD",NA,NA,"MEASURED IN CWT / ACRE","210"
"50",2023,"YEAR","STATE","FLORIDA","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","(D)"
"51",2023,"YEAR","STATE","FLORIDA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"52",2023,"YEAR","STATE","FLORIDA","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","8,800"
"53",2023,"YEAR","STATE","FLORIDA","PROCESSING","PRODUCTION",NA,"MEASURED IN $","(D)"
"54",2023,"YEAR","STATE","FLORIDA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"55",2023,"YEAR","STATE","FLORIDA","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","2,951,200"
"56",2023,"YEAR","STATE","OTHER STATES","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","3,173,579,000"
"57",2023,"YEAR","STATE","OTHER STATES","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","22,382,200"
"58",2023,"YEAR","STATE","OTHER STATES","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","0"
"59",2023,"YEAR","STATE","OTHER STATES","PROCESSING","PRODUCTION",NA,"MEASURED IN $","225,364,000"
"60",2023,"YEAR","STATE","OTHER STATES","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","5,144,400"
"61",2022,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","114"
"62",2022,"MARKETING YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","135"
"63",2022,"MARKETING YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","27.1"
"64",2022,"MARKETING YEAR","STATE","CALIFORNIA",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","108"
"65",2022,"MARKETING YEAR","STATE","CALIFORNIA","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"66",2022,"MARKETING YEAR","STATE","CALIFORNIA","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"67",2022,"MARKETING YEAR","STATE","FLORIDA",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","169"
"68",2022,"MARKETING YEAR","STATE","FLORIDA","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"69",2022,"MARKETING YEAR","STATE","FLORIDA","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"70",2022,"MARKETING YEAR","STATE","OTHER STATES",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","0"
"71",2022,"MARKETING YEAR","STATE","OTHER STATES","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","135"
"72",2022,"MARKETING YEAR","STATE","OTHER STATES","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","27.1"
"73",2022,"YEAR","NATIONAL","US TOTAL","ACRES HARVESTED",NA,NA,NA,"56,300"
"74",2022,"YEAR","NATIONAL","US TOTAL","ACRES PLANTED",NA,NA,NA,"56,400"
"75",2022,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN $","3,259,100,000"
"76",2022,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN CWT","28,520,000"
"77",2022,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN TONS","1,426,000"
"78",2022,"YEAR","NATIONAL","US TOTAL","YIELD",NA,NA,"MEASURED IN CWT / ACRE","507"
"79",2022,"YEAR","NATIONAL","US TOTAL","YIELD",NA,NA,"MEASURED IN TONS / ACRE","25.33"
"80",2022,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED","10 YEAR AVG FOR PARITY PURPOSES","MEASURED IN $ / CWT","116"
"81",2022,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED","10 YEAR AVG","MEASURED IN $ / CWT","116"
"82",2022,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","3,112,100,000"
"83",2022,"YEAR","NATIONAL","US TOTAL","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","23,077,600"
"84",2022,"YEAR","NATIONAL","US TOTAL","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","25,700"
"85",2022,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED","10 YEAR AVG FOR PARITY PURPOSES","MEASURED IN $ / TON","43.5"
"86",2022,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED","10 YEAR AVG","MEASURED IN $ / TON","43.5"
"87",2022,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRODUCTION",NA,"MEASURED IN $","147,000,000"
"88",2022,"YEAR","NATIONAL","US TOTAL","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","5,416,700"
"89",2022,"YEAR","NATIONAL","US TOTAL","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","28,494,300"
"90",2022,"YEAR","NATIONAL","US TOTAL","UTILIZED","PRODUCTION",NA,"MEASURED IN TONS","1,424,715"
"91",2022,"YEAR","STATE","CALIFORNIA","ACRES HARVESTED",NA,NA,NA,"43,500"
"92",2022,"YEAR","STATE","CALIFORNIA","ACRES PLANTED",NA,NA,NA,"43,600"
"93",2022,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"MEASURED IN $","2,781,768,000"
"94",2022,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"MEASURED IN CWT","25,700,000"
"95",2022,"YEAR","STATE","CALIFORNIA","YIELD",NA,NA,"MEASURED IN CWT / ACRE","590"
"96",2022,"YEAR","STATE","CALIFORNIA","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","(D)"
"97",2022,"YEAR","STATE","CALIFORNIA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"98",2022,"YEAR","STATE","CALIFORNIA","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","25,700"
"99",2022,"YEAR","STATE","CALIFORNIA","PROCESSING","PRODUCTION",NA,"MEASURED IN $","(D)"
"100",2022,"YEAR","STATE","CALIFORNIA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"101",2022,"YEAR","STATE","CALIFORNIA","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","25,674,300"
"102",2022,"YEAR","STATE","FLORIDA","ACRES HARVESTED",NA,NA,NA,"12,800"
"103",2022,"YEAR","STATE","FLORIDA","ACRES PLANTED",NA,NA,NA,"12,800"
"104",2022,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"MEASURED IN $","477,332,000"
"105",2022,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"MEASURED IN CWT","2,820,000"
"106",2022,"YEAR","STATE","FLORIDA","YIELD",NA,NA,"MEASURED IN CWT / ACRE","220"
"107",2022,"YEAR","STATE","FLORIDA","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","(D)"
"108",2022,"YEAR","STATE","FLORIDA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"109",2022,"YEAR","STATE","FLORIDA","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","0"
"110",2022,"YEAR","STATE","FLORIDA","PROCESSING","PRODUCTION",NA,"MEASURED IN $","(D)"
"111",2022,"YEAR","STATE","FLORIDA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"112",2022,"YEAR","STATE","FLORIDA","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","2,820,000"
"113",2022,"YEAR","STATE","OTHER STATES","ACRES HARVESTED",NA,NA,NA,"0"
"114",2022,"YEAR","STATE","OTHER STATES","ACRES PLANTED",NA,NA,NA,"0"
"115",2022,"YEAR","STATE","OTHER STATES",NA,"PRODUCTION",NA,"MEASURED IN $","0"
"116",2022,"YEAR","STATE","OTHER STATES",NA,"PRODUCTION",NA,"MEASURED IN CWT","0"
"117",2022,"YEAR","STATE","OTHER STATES","YIELD",NA,NA,"MEASURED IN CWT / ACRE","0"
"118",2022,"YEAR","STATE","OTHER STATES","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","3,112,100,000"
"119",2022,"YEAR","STATE","OTHER STATES","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","23,077,600"
"120",2022,"YEAR","STATE","OTHER STATES","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","0"
"121",2022,"YEAR","STATE","OTHER STATES","PROCESSING","PRODUCTION",NA,"MEASURED IN $","147,000,000"
"122",2022,"YEAR","STATE","OTHER STATES","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","5,416,700"
"123",2022,"YEAR","STATE","OTHER STATES","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","0"
"124",2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","129"
"125",2021,"MARKETING YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","143"
"126",2021,"MARKETING YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","64"
"127",2021,"MARKETING YEAR","STATE","CALIFORNIA",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","125"
"128",2021,"MARKETING YEAR","STATE","CALIFORNIA","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"129",2021,"MARKETING YEAR","STATE","CALIFORNIA","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"130",2021,"MARKETING YEAR","STATE","FLORIDA",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","160"
"131",2021,"MARKETING YEAR","STATE","FLORIDA","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"132",2021,"MARKETING YEAR","STATE","FLORIDA","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"133",2021,"MARKETING YEAR","STATE","OTHER STATES",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","0"
"134",2021,"MARKETING YEAR","STATE","OTHER STATES","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","143"
"135",2021,"MARKETING YEAR","STATE","OTHER STATES","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","64"
"136",2021,"YEAR","NATIONAL","US TOTAL","ACRES HARVESTED",NA,NA,NA,"52,500"
"137",2021,"YEAR","NATIONAL","US TOTAL","ACRES PLANTED",NA,NA,NA,"52,500"
"138",2021,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN $","3,583,960,000"
"139",2021,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN CWT","27,930,000"
"140",2021,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN TONS","1,396,500"
"141",2021,"YEAR","NATIONAL","US TOTAL","YIELD",NA,NA,"MEASURED IN CWT / ACRE","532"
"142",2021,"YEAR","NATIONAL","US TOTAL","YIELD",NA,NA,"MEASURED IN TONS / ACRE","26.6"
"143",2021,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED","10 YEAR AVG","MEASURED IN $ / CWT","111"
"144",2021,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","3,253,959,000"
"145",2021,"YEAR","NATIONAL","US TOTAL","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","22,697,900"
"146",2021,"YEAR","NATIONAL","US TOTAL","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","75,300"
"147",2021,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED","10 YEAR AVG","MEASURED IN $ / TON","44.1"
"148",2021,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRODUCTION",NA,"MEASURED IN $","330,001,000"
"149",2021,"YEAR","NATIONAL","US TOTAL","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","5,156,800"
"150",2021,"YEAR","NATIONAL","US TOTAL","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","27,854,700"
"151",2021,"YEAR","NATIONAL","US TOTAL","UTILIZED","PRODUCTION",NA,"MEASURED IN TONS","1,392,735"
"152",2021,"YEAR","STATE","CALIFORNIA","ACRES HARVESTED",NA,NA,NA,"40,200"
"153",2021,"YEAR","STATE","CALIFORNIA","ACRES PLANTED",NA,NA,NA,"40,200"
"154",2021,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"MEASURED IN $","3,132,279,000"
"155",2021,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"MEASURED IN CWT","25,100,000"
"156",2021,"YEAR","STATE","CALIFORNIA","YIELD",NA,NA,"MEASURED IN CWT / ACRE","625"
"157",2021,"YEAR","STATE","CALIFORNIA","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","(D)"
"158",2021,"YEAR","STATE","CALIFORNIA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"159",2021,"YEAR","STATE","CALIFORNIA","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","75,300"
"160",2021,"YEAR","STATE","CALIFORNIA","PROCESSING","PRODUCTION",NA,"MEASURED IN $","(D)"
"161",2021,"YEAR","STATE","CALIFORNIA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"162",2021,"YEAR","STATE","CALIFORNIA","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","25,024,700"
"163",2021,"YEAR","STATE","FLORIDA","ACRES HARVESTED",NA,NA,NA,"12,300"
"164",2021,"YEAR","STATE","FLORIDA","ACRES PLANTED",NA,NA,NA,"12,300"
"165",2021,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"MEASURED IN $","451,681,000"
"166",2021,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"MEASURED IN CWT","2,830,000"
"167",2021,"YEAR","STATE","FLORIDA","YIELD",NA,NA,"MEASURED IN CWT / ACRE","230"
"168",2021,"YEAR","STATE","FLORIDA","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","(D)"
"169",2021,"YEAR","STATE","FLORIDA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"170",2021,"YEAR","STATE","FLORIDA","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","0"
"171",2021,"YEAR","STATE","FLORIDA","PROCESSING","PRODUCTION",NA,"MEASURED IN $","(D)"
"172",2021,"YEAR","STATE","FLORIDA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"173",2021,"YEAR","STATE","FLORIDA","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","2,830,000"
"174",2021,"YEAR","STATE","OTHER STATES","ACRES HARVESTED",NA,NA,NA,"0"
"175",2021,"YEAR","STATE","OTHER STATES","ACRES PLANTED",NA,NA,NA,"0"
"176",2021,"YEAR","STATE","OTHER STATES",NA,"PRODUCTION",NA,"MEASURED IN $","0"
"177",2021,"YEAR","STATE","OTHER STATES",NA,"PRODUCTION",NA,"MEASURED IN CWT","0"
"178",2021,"YEAR","STATE","OTHER STATES","YIELD",NA,NA,"MEASURED IN CWT / ACRE","0"
"179",2021,"YEAR","STATE","OTHER STATES","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","3,253,959,000"
"180",2021,"YEAR","STATE","OTHER STATES","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","22,697,900"
"181",2021,"YEAR","STATE","OTHER STATES","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","0"
"182",2021,"YEAR","STATE","OTHER STATES","PROCESSING","PRODUCTION",NA,"MEASURED IN $","330,001,000"
"183",2021,"YEAR","STATE","OTHER STATES","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","5,156,800"
"184",2021,"YEAR","STATE","OTHER STATES","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","0"
"185",2020,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","97.1"
"186",2020,"MARKETING YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","111"
"187",2020,"MARKETING YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","38.1"
"188",2020,"MARKETING YEAR","STATE","CALIFORNIA",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","93.1"
"189",2020,"MARKETING YEAR","STATE","CALIFORNIA","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"190",2020,"MARKETING YEAR","STATE","CALIFORNIA","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"191",2020,"MARKETING YEAR","STATE","FLORIDA",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","139"
"192",2020,"MARKETING YEAR","STATE","FLORIDA","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"193",2020,"MARKETING YEAR","STATE","FLORIDA","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"194",2020,"MARKETING YEAR","STATE","OTHER STATES",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","0"
"195",2020,"MARKETING YEAR","STATE","OTHER STATES","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","111"
"196",2020,"MARKETING YEAR","STATE","OTHER STATES","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","38.1"
"197",2020,"YEAR","NATIONAL","US TOTAL","ACRES HARVESTED",NA,NA,NA,"49,300"
"198",2020,"YEAR","NATIONAL","US TOTAL","ACRES PLANTED",NA,NA,NA,"49,700"
"199",2020,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN $","2,591,759,000"
"200",2020,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN CWT","26,740,000"
"201",2020,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN TONS","1,337,000"
"202",2020,"YEAR","NATIONAL","US TOTAL","YIELD",NA,NA,"MEASURED IN CWT / ACRE","542"
"203",2020,"YEAR","NATIONAL","US TOTAL","YIELD",NA,NA,"MEASURED IN TONS / ACRE","27.12"
"204",2020,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","2,404,152,000"
"205",2020,"YEAR","NATIONAL","US TOTAL","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","21,756,400"
"206",2020,"YEAR","NATIONAL","US TOTAL","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","55,800"
"207",2020,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRODUCTION",NA,"MEASURED IN $","187,607,000"
"208",2020,"YEAR","NATIONAL","US TOTAL","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","4,927,800"
"209",2020,"YEAR","NATIONAL","US TOTAL","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","26,684,200"
"210",2020,"YEAR","NATIONAL","US TOTAL","UTILIZED","PRODUCTION",NA,"MEASURED IN TONS","1,334,210"
"211",2020,"YEAR","STATE","CALIFORNIA","ACRES HARVESTED",NA,NA,NA,"37,600"
"212",2020,"YEAR","STATE","CALIFORNIA","ACRES PLANTED",NA,NA,NA,"38,000"
"213",2020,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"MEASURED IN $","2,267,175,000"
"214",2020,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"MEASURED IN CWT","24,400,000"
"215",2020,"YEAR","STATE","CALIFORNIA","YIELD",NA,NA,"MEASURED IN CWT / ACRE","650"
"216",2020,"YEAR","STATE","CALIFORNIA","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","(D)"
"217",2020,"YEAR","STATE","CALIFORNIA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"218",2020,"YEAR","STATE","CALIFORNIA","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","48,800"
"219",2020,"YEAR","STATE","CALIFORNIA","PROCESSING","PRODUCTION",NA,"MEASURED IN $","(D)"
"220",2020,"YEAR","STATE","CALIFORNIA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"221",2020,"YEAR","STATE","CALIFORNIA","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","24,351,200"
"222",2020,"YEAR","STATE","FLORIDA","ACRES HARVESTED",NA,NA,NA,"11,700"
"223",2020,"YEAR","STATE","FLORIDA","ACRES PLANTED",NA,NA,NA,"11,700"
