"","Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Measure","Applications","Bearing Type","Metric","Domain","Chemical Name","Code","Use","Value","CV (%)"
"19","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"YIELD",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","485",NA
"20","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"YIELD",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","24.26",NA
"21","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED-10 YEAR AVG FOR PARITY PURPOSES","FRESH MARKET",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","120",NA
"22","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED-10 YEAR AVG","FRESH MARKET",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","120",NA
"23","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED-ADJUSTED BASE","FRESH MARKET",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","10.8",NA
"24","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRODUCTION","FRESH MARKET",NA,"MEASURED IN $","TOTAL",NA,NA,"NOT SPECIFIED","3,173,579,000",NA
"25","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"UTILIZED - PRODUCTION","FRESH MARKET",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","22,382,200",NA
"26","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRODUCTION","NOT SOLD",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","33,400",NA
"27","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED-10 YEAR AVG FOR PARITY PURPOSES","PROCESSING",NA,"MEASURED IN $ / TON","TOTAL",NA,NA,"NOT SPECIFIED","44.4",NA
"28","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED-10 YEAR AVG","PROCESSING",NA,"MEASURED IN $ / TON","TOTAL",NA,NA,"NOT SPECIFIED","44.4",NA
"29","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED-ADJUSTED BASE","PROCESSING",NA,"MEASURED IN $ / TON","TOTAL",NA,NA,"NOT SPECIFIED","4.05",NA
"30","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRODUCTION","PROCESSING",NA,"MEASURED IN $","TOTAL",NA,NA,"NOT SPECIFIED","225,364,000",NA
"31","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"UTILIZED - PRODUCTION","PROCESSING",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","5,144,400",NA
"32","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"UTILIZED - PRODUCTION",NA,NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","27,526,600",NA
"33","SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"UTILIZED - PRODUCTION",NA,NA,"MEASURED IN TONS","TOTAL",NA,NA,"NOT SPECIFIED","1,376,330",NA
"34","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES HARVESTED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","42,700",NA
"35","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES PLANTED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","43,100",NA
"36","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRODUCTION",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","2,965,387,000",NA
"37","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRODUCTION",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","24,600,000",NA
"38","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"YIELD",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","575",NA
"39","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRODUCTION","FRESH MARKET",NA,"MEASURED IN $","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"40","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"UTILIZED - PRODUCTION","FRESH MARKET",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"41","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRODUCTION","NOT SOLD",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","24,600",NA
"42","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRODUCTION","PROCESSING",NA,"MEASURED IN $","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"43","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"UTILIZED - PRODUCTION","PROCESSING",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"44","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"UTILIZED - PRODUCTION",NA,NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","24,575,400",NA
"45","SURVEY",2023,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES HARVESTED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","14,100",NA
"46","SURVEY",2023,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES PLANTED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","14,200",NA
"47","SURVEY",2023,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"PRODUCTION",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","433,556,000",NA
"48","SURVEY",2023,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"PRODUCTION",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","2,960,000",NA
"49","SURVEY",2023,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"YIELD",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","210",NA
"50","SURVEY",2023,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"PRODUCTION","FRESH MARKET",NA,"MEASURED IN $","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"51","SURVEY",2023,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"UTILIZED - PRODUCTION","FRESH MARKET",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"52","SURVEY",2023,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"PRODUCTION","NOT SOLD",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","8,800",NA
"53","SURVEY",2023,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"PRODUCTION","PROCESSING",NA,"MEASURED IN $","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"54","SURVEY",2023,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"UTILIZED - PRODUCTION","PROCESSING",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"55","SURVEY",2023,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"UTILIZED - PRODUCTION",NA,NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","2,951,200",NA
"56","SURVEY",2023,"YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"PRODUCTION","FRESH MARKET",NA,"MEASURED IN $","TOTAL",NA,NA,"NOT SPECIFIED","3,173,579,000",NA
"57","SURVEY",2023,"YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"UTILIZED - PRODUCTION","FRESH MARKET",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","22,382,200",NA
"58","SURVEY",2023,"YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"PRODUCTION","NOT SOLD",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","0",NA
"59","SURVEY",2023,"YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"PRODUCTION","PROCESSING",NA,"MEASURED IN $","TOTAL",NA,NA,"NOT SPECIFIED","225,364,000",NA
"60","SURVEY",2023,"YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"UTILIZED - PRODUCTION","PROCESSING",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","5,144,400",NA
"61","SURVEY",2022,"MARKETING YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","114",NA
"62","SURVEY",2022,"MARKETING YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED","FRESH MARKET",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","135",NA
"63","SURVEY",2022,"MARKETING YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED","PROCESSING",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","27.1",NA
"64","SURVEY",2022,"MARKETING YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRICE RECEIVED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","108",NA
"65","SURVEY",2022,"MARKETING YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRICE RECEIVED","FRESH MARKET",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"66","SURVEY",2022,"MARKETING YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRICE RECEIVED","PROCESSING",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"67","SURVEY",2022,"MARKETING YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"PRICE RECEIVED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","169",NA
"68","SURVEY",2022,"MARKETING YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"PRICE RECEIVED","FRESH MARKET",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"69","SURVEY",2022,"MARKETING YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"PRICE RECEIVED","PROCESSING",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"70","SURVEY",2022,"MARKETING YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"PRICE RECEIVED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","0",NA
"71","SURVEY",2022,"MARKETING YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"PRICE RECEIVED","FRESH MARKET",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","135",NA
"72","SURVEY",2022,"MARKETING YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"PRICE RECEIVED","PROCESSING",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","27.1",NA
"73","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES HARVESTED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","56,300",NA
"74","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES PLANTED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","56,400",NA
"75","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRODUCTION",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","3,259,100,000",NA
"76","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRODUCTION",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","28,520,000",NA
"77","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRODUCTION",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","1,426,000",NA
"78","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"YIELD",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","507",NA
"79","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"YIELD",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","25.33",NA
"80","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED-10 YEAR AVG FOR PARITY PURPOSES","FRESH MARKET",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","116",NA
"81","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED-10 YEAR AVG","FRESH MARKET",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","116",NA
"82","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRODUCTION","FRESH MARKET",NA,"MEASURED IN $","TOTAL",NA,NA,"NOT SPECIFIED","3,112,100,000",NA
"83","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"UTILIZED - PRODUCTION","FRESH MARKET",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","23,077,600",NA
"84","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRODUCTION","NOT SOLD",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","25,700",NA
"85","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED-10 YEAR AVG FOR PARITY PURPOSES","PROCESSING",NA,"MEASURED IN $ / TON","TOTAL",NA,NA,"NOT SPECIFIED","43.5",NA
"86","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED-10 YEAR AVG","PROCESSING",NA,"MEASURED IN $ / TON","TOTAL",NA,NA,"NOT SPECIFIED","43.5",NA
"87","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRODUCTION","PROCESSING",NA,"MEASURED IN $","TOTAL",NA,NA,"NOT SPECIFIED","147,000,000",NA
"88","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"UTILIZED - PRODUCTION","PROCESSING",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","5,416,700",NA
"89","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"UTILIZED - PRODUCTION",NA,NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","28,494,300",NA
"90","SURVEY",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"UTILIZED - PRODUCTION",NA,NA,"MEASURED IN TONS","TOTAL",NA,NA,"NOT SPECIFIED","1,424,715",NA
"91","SURVEY",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES HARVESTED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","43,500",NA
"92","SURVEY",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES PLANTED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","43,600",NA
"93","SURVEY",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRODUCTION",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","2,781,768,000",NA
"94","SURVEY",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRODUCTION",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","25,700,000",NA
"95","SURVEY",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"YIELD",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","590",NA
"96","SURVEY",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRODUCTION","FRESH MARKET",NA,"MEASURED IN $","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"97","SURVEY",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"UTILIZED - PRODUCTION","FRESH MARKET",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"98","SURVEY",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRODUCTION","NOT SOLD",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","25,700",NA
"99","SURVEY",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRODUCTION","PROCESSING",NA,"MEASURED IN $","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"100","SURVEY",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"UTILIZED - PRODUCTION","PROCESSING",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"101","SURVEY",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"UTILIZED - PRODUCTION",NA,NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","25,674,300",NA
"102","SURVEY",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES HARVESTED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","12,800",NA
"103","SURVEY",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"ACRES PLANTED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","12,800",NA
"104","SURVEY",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"PRODUCTION",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","477,332,000",NA
"105","SURVEY",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"PRODUCTION",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","2,820,000",NA
"106","SURVEY",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"YIELD",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","220",NA
"107","SURVEY",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"PRODUCTION","FRESH MARKET",NA,"MEASURED IN $","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"108","SURVEY",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"UTILIZED - PRODUCTION","FRESH MARKET",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"109","SURVEY",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"PRODUCTION","NOT SOLD",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","0",NA
"110","SURVEY",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"PRODUCTION","PROCESSING",NA,"MEASURED IN $","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"111","SURVEY",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"UTILIZED - PRODUCTION","PROCESSING",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","(D)",NA
"112","SURVEY",2022,"YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"UTILIZED - PRODUCTION",NA,NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","2,820,000",NA
"113","SURVEY",2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"ACRES HARVESTED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","0",NA
"114","SURVEY",2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"ACRES PLANTED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","0",NA
"115","SURVEY",2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"PRODUCTION",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","0",NA
"116","SURVEY",2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"PRODUCTION",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","0",NA
"117","SURVEY",2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"YIELD",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","0",NA
"118","SURVEY",2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"PRODUCTION","FRESH MARKET",NA,"MEASURED IN $","TOTAL",NA,NA,"NOT SPECIFIED","3,112,100,000",NA
"119","SURVEY",2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"UTILIZED - PRODUCTION","FRESH MARKET",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","23,077,600",NA
"120","SURVEY",2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"PRODUCTION","NOT SOLD",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","0",NA
"121","SURVEY",2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"PRODUCTION","PROCESSING",NA,"MEASURED IN $","TOTAL",NA,NA,"NOT SPECIFIED","147,000,000",NA
"122","SURVEY",2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"UTILIZED - PRODUCTION","PROCESSING",NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","5,416,700",NA
"123","SURVEY",2022,"YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"UTILIZED - PRODUCTION",NA,NA,"MEASURED IN CWT","TOTAL",NA,NA,"NOT SPECIFIED","0",NA
"124","SURVEY",2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","129",NA
"125","SURVEY",2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED","FRESH MARKET",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","143",NA
"126","SURVEY",2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"PRICE RECEIVED","PROCESSING",NA,"MEASURED IN $ / CWT","TOTAL",NA,NA,"NOT SPECIFIED","64",NA
"127","SURVEY",2021,"MARKETING YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"PRICE RECEIVED",NA,NA,NA,"TOTAL",NA,NA,"NOT SPECIFIED","125",NA
