"","Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Measure","Applications","Bearing Type","Metric","Domain","Certified","Size-Bracket","Code","Use","Value","CV (%)"
"13","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","4,441","12.7"
"14","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"5.0 TO 14.9 ACRES",NA,"AREA GROWN","3,942","7.9"
"15","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","10,461","47.6"
"16","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","73,462","15.3"
"17","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"0.1 TO 0.9 ACRES",NA,"AREA GROWN","236","13.2"
"18","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","535","5.1"
"19","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","666","4.2"
"20","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","244","34.1"
"21","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","210","37.3"
"22","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"5.0 TO 14.9 ACRES",NA,"AREA GROWN","547","9.9"
"23","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","315","(H)"
"24","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","2,753","15.5"
"25","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"0.1 TO 0.9 ACRES",NA,"AREA GROWN","4,690","6.4"
"26","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","1,812","6.1"
"27","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","161","25.4"
"28","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","146","17.2"
"29","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","131","11.9"
"30","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"5.0 TO 14.9 ACRES",NA,"AREA GROWN","510","7.3"
"31","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","146","44.0"
"32","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","7,596","5.7"
"33","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"0.1 TO 0.9 ACRES",NA,"AREA GROWN","5,508","7.0"
"34","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","1,884","5.7"
"35","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","161","25.4"
"36","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","147","18.3"
"37","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","131","11.9"
"38","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"5.0 TO 14.9 ACRES",NA,"AREA GROWN","514","7.3"
"39","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","146","44.0"
"40","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","8,491","5.8"
"41","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"0.1 TO 0.9 ACRES",NA,"AREA GROWN","1,270","13.7"
"42","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","562","6.4"
"43","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","17","27.9"
"44","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","43","19.0"
"45","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","22","40.9"
"46","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"5.0 TO 14.9 ACRES",NA,"AREA GROWN","200","8.2"
"47","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","16","72.6"
"48","CENSUS",2022,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","2,130","8.4"
"49","CENSUS",2022,"YEAR","STATE","ALABAMA","01",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","162","16.9"
"50","CENSUS",2022,"YEAR","STATE","ALABAMA","01",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","171","17.5"
"51","CENSUS",2022,"YEAR","STATE","ALABAMA","01",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","9","80.0"
"52","CENSUS",2022,"YEAR","STATE","ALABAMA","01",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","107","19.7"
"53","CENSUS",2022,"YEAR","STATE","ALABAMA","01",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","119","17.5"
"54","CENSUS",2022,"YEAR","STATE","ALABAMA","01",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","18","26.9"
"55","CENSUS",2022,"YEAR","STATE","ALASKA","02",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","11","(L)"
"56","CENSUS",2022,"YEAR","STATE","ALASKA","02",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","14","(L)"
"57","CENSUS",2022,"YEAR","STATE","ALASKA","02",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","3","(L)"
"58","CENSUS",2022,"YEAR","STATE","ALASKA","02",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","45","(L)"
"59","CENSUS",2022,"YEAR","STATE","ALASKA","02",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","50","(L)"
"60","CENSUS",2022,"YEAR","STATE","ALASKA","02",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","8","(L)"
"61","CENSUS",2022,"YEAR","STATE","ARIZONA","04",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","3","29.4"
"62","CENSUS",2022,"YEAR","STATE","ARIZONA","04",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","4","33.8"
"63","CENSUS",2022,"YEAR","STATE","ARIZONA","04",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","1","93.3"
"64","CENSUS",2022,"YEAR","STATE","ARIZONA","04",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","16","25.8"
"65","CENSUS",2022,"YEAR","STATE","ARIZONA","04",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","24","15.8"
"66","CENSUS",2022,"YEAR","STATE","ARIZONA","04",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","9","38.0"
"67","CENSUS",2022,"YEAR","STATE","ARKANSAS","05",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","116","33.4"
"68","CENSUS",2022,"YEAR","STATE","ARKANSAS","05",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","128","33.0"
"69","CENSUS",2022,"YEAR","STATE","ARKANSAS","05",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","12","42.1"
"70","CENSUS",2022,"YEAR","STATE","ARKANSAS","05",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","71","36.0"
"71","CENSUS",2022,"YEAR","STATE","ARKANSAS","05",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","80","35.7"
"72","CENSUS",2022,"YEAR","STATE","ARKANSAS","05",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","24","34.2"
"73","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"0.1 TO 0.9 ACRES",NA,"AREA GROWN","(D)","(D)"
"74","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","138","(H)"
"75","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","35,019","32.5"
"76","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","(D)","(D)"
"77","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","1,699","31.0"
"78","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"5.0 TO 14.9 ACRES",NA,"AREA GROWN","370","31.6"
"79","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","8,154","68.4"
"80","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","46,093","21.8"
"81","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"0.1 TO 0.9 ACRES",NA,"AREA GROWN","46","45.6"
"82","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","165","91.9"
"83","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","35,457","32.1"
"84","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","676","42.5"
"85","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","1,736","30.8"
"86","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"5.0 TO 14.9 ACRES",NA,"AREA GROWN","409","31.8"
"87","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","8,323","65.6"
"88","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","46,813","21.9"
"89","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"0.1 TO 0.9 ACRES",NA,"AREA GROWN","(D)","(D)"
"90","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","27","23.5"
"91","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","438","6.4"
"92","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","(D)","(D)"
"93","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","38","83.7"
"94","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"5.0 TO 14.9 ACRES",NA,"AREA GROWN","40","52.1"
"95","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","169","(H)"
"96","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"ACRES",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","720","50.2"
"97","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"0.1 TO 0.9 ACRES",NA,"AREA GROWN","189","39.6"
"98","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","74","98.6"
"99","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","114","34.3"
"100","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","36","43.5"
"101","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","47","27.1"
"102","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"5.0 TO 14.9 ACRES",NA,"AREA GROWN","52","29.4"
"103","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","114","63.8"
"104","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","626","26.9"
"105","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"0.1 TO 0.9 ACRES",NA,"AREA GROWN","212","42.6"
"106","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","76","93.5"
"107","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","114","34.3"
"108","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","36","43.5"
"109","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","47","27.1"
"110","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"5.0 TO 14.9 ACRES",NA,"AREA GROWN","52","29.4"
"111","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","114","63.8"
"112","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA GROWN",NA,NA,NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","651","27.8"
"113","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"0.1 TO 0.9 ACRES",NA,"AREA GROWN","32","92.0"
"114","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"1.0 TO 4.9 ACRES",NA,"AREA GROWN","22","39.5"
"115","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"100 OR MORE ACRES",NA,"AREA GROWN","10","47.4"
"116","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"15.0 TO 24.9 ACRES",NA,"AREA GROWN","1","(H)"
"117","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"25.0 TO 49.9 ACRES",NA,"AREA GROWN","3","83.7"
"118","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"5.0 TO 14.9 ACRES",NA,"AREA GROWN","9","68.3"
"119","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"AREA GROWN",NA,"50.0 TO 99.9 ACRES",NA,"AREA GROWN","8","77.8"
"120","CENSUS",2022,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"OPERATIONS WITH AREA",NA,"NON-BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","85","58.8"
"121","CENSUS",2022,"YEAR","STATE","COLORADO","08",NA,NA,NA,NA,"ACRES",NA,"BEARING",NA,"TOTAL",NA,NA,NA,"NOT SPECIFIED","10","73.5"
