"","Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Measure","Applications","Bearing Type","Metric","Domain","Chemical Name","Code","Use","Value","CV (%)"
"27","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","BT SUBSP KURSTAKI EVB-113-19","6544","FUNGICIDE","(NA)",NA
"28","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","CAPTAN","81301","FUNGICIDE","603,100",NA
"29","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","CYFLUFENAMID","555550","FUNGICIDE","(D)",NA
"30","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","CYPRODINIL","288202","FUNGICIDE","30,300",NA
"31","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","DIFENOCONAZOLE","128847","FUNGICIDE","(D)",NA
"32","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","FENHEXAMID","90209","FUNGICIDE","8,600",NA
"33","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","FLUDIOXONIL","71503","FUNGICIDE","22,400",NA
"34","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","FLUOPYRAM","80302","FUNGICIDE","14,600",NA
"35","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","FLUXAPYROXAD","138009","FUNGICIDE","7,100",NA
"36","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","FOSETYL-AL","123301","FUNGICIDE","(D)",NA
"37","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","ISOFETAMID","270000","FUNGICIDE","(D)",NA
"38","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","MEFENOXAM","113502","FUNGICIDE","7,200",NA
"39","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","MONO-POTASSIUM SALT","76416","FUNGICIDE","(D)",NA
"40","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","MYCLOBUTANIL","128857","FUNGICIDE","10,800",NA
"41","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","PENTHIOPYRAD","90112","FUNGICIDE","4,000",NA
"42","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","POLYOXIN D ZINC SALT","230000","FUNGICIDE","3,300",NA
"43","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","PROPICONAZOLE","122101","FUNGICIDE","2,300",NA
"44","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","PYDIFLUMETOFEN","90110","FUNGICIDE","(D)",NA
"45","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","PYRACLOSTROBIN","99100","FUNGICIDE","10,600",NA
"46","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","PYRIMETHANIL","288201","FUNGICIDE","8,300",NA
"47","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","QUINOLINE","55459","FUNGICIDE","3,600",NA
"48","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","SULFUR","77501","FUNGICIDE","1,258,100",NA
"49","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","TETRACONAZOLE","120603","FUNGICIDE","1,300",NA
"50","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","THIOPHANATE-METHYL","102001","FUNGICIDE","10,600",NA
"51","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","THIRAM","79801","FUNGICIDE","269,500",NA
"52","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","TOTAL",NA,"FUNGICIDE","2,338,800",NA
"53","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","TRIFLOXYSTROBIN","129112","FUNGICIDE","14,600",NA
"54","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","TRIFLUMIZOLE","128879","FUNGICIDE","(D)",NA
"55","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","CARFENTRAZONE-ETHYL","128712","HERBICIDE","(D)",NA
"56","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","FLUMIOXAZIN","129034","HERBICIDE","3,900",NA
"57","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","OXYFLUORFEN","111601","HERBICIDE","(D)",NA
"58","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","PENDIMETHALIN","108501","HERBICIDE","71,400",NA
"59","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","TOTAL",NA,"HERBICIDE","89,700",NA
"60","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","ABAMECTIN","122804","INSECTICIDE","300",NA
"61","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","ACEQUINOCYL","6329","INSECTICIDE","12,800",NA
"62","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","ACETAMIPRID","99050","INSECTICIDE","3,300",NA
"63","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","AZADIRACHTIN","121701","INSECTICIDE","2,800",NA
"64","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","BEAUVERIA BASSIANA","128924","INSECTICIDE","(NA)",NA
"65","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","BIFENAZATE","586","INSECTICIDE","28,700",NA
"66","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","BIFENTHRIN","128825","INSECTICIDE","4,600",NA
"67","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","BT KURSTAK ABTS-1857","6523","INSECTICIDE","(NA)",NA
"68","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","BT KURSTAKI ABTS-351","6522","INSECTICIDE","(NA)",NA
"69","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","BT KURSTAKI SA-11","6519","INSECTICIDE","(NA)",NA
"70","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","CANOLA OIL","11332","INSECTICIDE","(D)",NA
"71","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","CHLORANTRANILIPROLE","90100","INSECTICIDE","2,000",NA
"72","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA","16329","INSECTICIDE","(NA)",NA
"73","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","CYANTRANILIPROLE","90098","INSECTICIDE","1,700",NA
"74","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","CYFLUMETOFEN","138831","INSECTICIDE","7,600",NA
"75","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","ETOXAZOLE","107091","INSECTICIDE","(D)",NA
"76","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","FENBUTATIN-OXIDE","104601","INSECTICIDE","(D)",NA
"77","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","FENPROPATHRIN","127901","INSECTICIDE","6,600",NA
"78","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","FENPYROXIMATE","129131","INSECTICIDE","(D)",NA
"79","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","FLONICAMID","128016","INSECTICIDE","6,200",NA
"80","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","FLUPYRADIFURONE","122304","INSECTICIDE","5,000",NA
"81","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","HEXYTHIAZOX","128849","INSECTICIDE","5,400",NA
"82","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","IMIDACLOPRID","129099","INSECTICIDE","3,100",NA
"83","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","LAMBDA-CYHALOTHRIN","128897","INSECTICIDE","(D)",NA
"84","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","MALATHION","57701","INSECTICIDE","19,400",NA
"85","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","METHOXYFENOZIDE","121027","INSECTICIDE","7,900",NA
"86","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","NALED","34401","INSECTICIDE","(D)",NA
"87","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","NEEM OIL","25006","INSECTICIDE","(D)",NA
"88","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","NEEM OIL, CLAR. HYD.","25007","INSECTICIDE","(D)",NA
"89","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","NOVALURON","124002","INSECTICIDE","5,600",NA
"90","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","PIPERONYL BUTOXIDE","67501","INSECTICIDE","(D)",NA
"91","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","PYRETHRINS","69001","INSECTICIDE","(D)",NA
"92","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","PYRIDABEN","129105","INSECTICIDE","(D)",NA
"93","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","SPINETORAM","110007","INSECTICIDE","3,800",NA
"94","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","SPINOSAD","110003","INSECTICIDE","2,000",NA
"95","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","THIAMETHOXAM","60109","INSECTICIDE","1,300",NA
"96","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","TOTAL",NA,"INSECTICIDE","231,600",NA
"97","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","ACIBENZOLAR-S-METHYL","61402","OTHER","(D)",NA
"98","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","CAPSICUM OLEORESIN EXTRACT","70704","OTHER","(NA)",NA
"99","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","CHLOROPICRIN","81501","OTHER","11,299,000",NA
"100","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","DICHLOROPROPENE","29001","OTHER","1,642,600",NA
"101","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","FLUTRIAFOL","128940","OTHER","3,900",NA
"102","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","GARLIC OIL","128827","OTHER","(D)",NA
"103","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","HYDROGEN PEROXIDE","595","OTHER","(D)",NA
"104","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","IRON PHOSPHATE","34903","OTHER","(D)",NA
"105","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","METALDEHYDE","53001","OTHER","(D)",NA
"106","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","METAM-POTASSIUM","39002","OTHER","(D)",NA
"107","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","METAM-SODIUM","39003","OTHER","(D)",NA
"108","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","PEROXYACETIC ACID","63201","OTHER","(D)",NA
"109","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","PSEUDOMONAS CHLORORAPHIS STRAIN AFS009","6800","OTHER","(NA)",NA
"110","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","REYNOUTRIA SACHALINE","55809","OTHER","(D)",NA
"111","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB","CHEMICAL","TOTAL",NA,"OTHER","15,611,900",NA
"112","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","AZOXYSTROBIN","128810","FUNGICIDE","0.234",NA
"113","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","BACILLUS AMYLOLIQUEFACIENS STRAIN D747","16482","FUNGICIDE","(NA)",NA
"114","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","BACILLUS SUBTILIS","6479","FUNGICIDE","(NA)",NA
"115","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","BLAD","30006","FUNGICIDE","(D)",NA
"116","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","BORAX DECAHYDRATE","11102","FUNGICIDE","0.042",NA
"117","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","BOSCALID","128008","FUNGICIDE","0.354",NA
"118","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","BT SUBSP KURSTAKI EVB-113-19","6544","FUNGICIDE","(NA)",NA
"119","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","CAPTAN","81301","FUNGICIDE","1.693",NA
"120","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","CYFLUFENAMID","555550","FUNGICIDE","(D)",NA
"121","SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,NA,"APPLICATIONS",NA,"MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","CYPRODINIL","288202","FUNGICIDE","0.316",NA
