"","Year","Period","Geo Level","State","State ANSI","Category","Measure","Metric","Chemical","Type","Domain Category","Value"
"13",2023,"MARKETING YEAR","STATE","OTHER STATES",NA,"PROCESSING - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","43.8"
"14",2023,"YEAR","NATIONAL","US TOTAL",NA,"ACRES HARVESTED",NA,NA,"TOTAL",NA,"NOT SPECIFIED","56,800"
"15",2023,"YEAR","NATIONAL","US TOTAL",NA,"ACRES PLANTED",NA,NA,"TOTAL",NA,"NOT SPECIFIED","57,300"
"16",2023,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","3,398,943,000"
"17",2023,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","27,560,000"
"18",2023,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION","MEASURED IN TONS",NA,"TOTAL",NA,"NOT SPECIFIED","1,378,000"
"19",2023,"YEAR","NATIONAL","US TOTAL",NA,"YIELD","MEASURED IN CWT / ACRE",NA,"TOTAL",NA,"NOT SPECIFIED","485"
"20",2023,"YEAR","NATIONAL","US TOTAL",NA,"YIELD","MEASURED IN TONS / ACRE",NA,"TOTAL",NA,"NOT SPECIFIED","24.26"
"21",2023,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET - PRICE RECEIVED","10 YEAR AVG FOR PARITY PURPOSES","MEASURED IN $ / CWT","TOTAL",NA,"NOT SPECIFIED","120"
"22",2023,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET - PRICE RECEIVED","10 YEAR AVG","MEASURED IN $ / CWT","TOTAL",NA,"NOT SPECIFIED","120"
"23",2023,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET - PRICE RECEIVED","ADJUSTED BASE","MEASURED IN $ / CWT","TOTAL",NA,"NOT SPECIFIED","10.8"
"24",2023,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET - PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","3,173,579,000"
"25",2023,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET","UTILIZED - PRODUCTION","MEASURED IN CWT","TOTAL",NA,"NOT SPECIFIED","22,382,200"
"26",2023,"YEAR","NATIONAL","US TOTAL",NA,"NOT SOLD - PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","33,400"
"27",2023,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING - PRICE RECEIVED","10 YEAR AVG FOR PARITY PURPOSES","MEASURED IN $ / TON","TOTAL",NA,"NOT SPECIFIED","44.4"
"28",2023,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING - PRICE RECEIVED","10 YEAR AVG","MEASURED IN $ / TON","TOTAL",NA,"NOT SPECIFIED","44.4"
"29",2023,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING - PRICE RECEIVED","ADJUSTED BASE","MEASURED IN $ / TON","TOTAL",NA,"NOT SPECIFIED","4.05"
"30",2023,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING - PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","225,364,000"
"31",2023,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING","UTILIZED - PRODUCTION","MEASURED IN CWT","TOTAL",NA,"NOT SPECIFIED","5,144,400"
"32",2023,"YEAR","NATIONAL","US TOTAL",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","27,526,600"
"33",2023,"YEAR","NATIONAL","US TOTAL",NA,"UTILIZED - PRODUCTION","MEASURED IN TONS",NA,"TOTAL",NA,"NOT SPECIFIED","1,376,330"
"34",2023,"YEAR","STATE","CALIFORNIA","06","ACRES HARVESTED",NA,NA,"TOTAL",NA,"NOT SPECIFIED","42,700"
"35",2023,"YEAR","STATE","CALIFORNIA","06","ACRES PLANTED",NA,NA,"TOTAL",NA,"NOT SPECIFIED","43,100"
"36",2023,"YEAR","STATE","CALIFORNIA","06","APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)","(D)"
"37",2023,"YEAR","STATE","CALIFORNIA","06","APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)","(D)"
"38",2023,"YEAR","STATE","CALIFORNIA","06","APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)","(D)"
"39",2023,"YEAR","STATE","CALIFORNIA","06","APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","OTHER","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)","(NA)"
"40",2023,"YEAR","STATE","CALIFORNIA","06","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)","(D)"
"41",2023,"YEAR","STATE","CALIFORNIA","06","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)","(D)"
"42",2023,"YEAR","STATE","CALIFORNIA","06","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)","(D)"
"43",2023,"YEAR","STATE","CALIFORNIA","06","APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","CHEMICAL","OTHER","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)","(NA)"
"44",2023,"YEAR","STATE","CALIFORNIA","06","APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)","(D)"
"45",2023,"YEAR","STATE","CALIFORNIA","06","APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)","(D)"
"46",2023,"YEAR","STATE","CALIFORNIA","06","APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)","(D)"
"47",2023,"YEAR","STATE","CALIFORNIA","06","APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","CHEMICAL","OTHER","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)","(NA)"
"48",2023,"YEAR","STATE","CALIFORNIA","06","APPLICATIONS","MEASURED IN NUMBER","AVG","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)","(D)"
"49",2023,"YEAR","STATE","CALIFORNIA","06","APPLICATIONS","MEASURED IN NUMBER","AVG","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)","(D)"
"50",2023,"YEAR","STATE","CALIFORNIA","06","APPLICATIONS","MEASURED IN NUMBER","AVG","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)","(D)"
"51",2023,"YEAR","STATE","CALIFORNIA","06","APPLICATIONS","MEASURED IN NUMBER","AVG","CHEMICAL","OTHER","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)","(D)"
"52",2023,"YEAR","STATE","CALIFORNIA","06","PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","2,965,387,000"
"53",2023,"YEAR","STATE","CALIFORNIA","06","PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","24,600,000"
"54",2023,"YEAR","STATE","CALIFORNIA","06","TREATED","MEASURED IN PCT OF AREA BEARING","AVG","CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)","(D)"
"55",2023,"YEAR","STATE","CALIFORNIA","06","TREATED","MEASURED IN PCT OF AREA BEARING","AVG","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)","(D)"
"56",2023,"YEAR","STATE","CALIFORNIA","06","TREATED","MEASURED IN PCT OF AREA BEARING","AVG","CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)","(D)"
"57",2023,"YEAR","STATE","CALIFORNIA","06","TREATED","MEASURED IN PCT OF AREA BEARING","AVG","CHEMICAL","OTHER","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)","(D)"
"58",2023,"YEAR","STATE","CALIFORNIA","06","YIELD","MEASURED IN CWT / ACRE",NA,"TOTAL",NA,"NOT SPECIFIED","575"
"59",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)","3,300"
"60",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","(NA)"
"61",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)","(NA)"
"62",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BLAD = 30006)","(D)"
"63",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BORAX DECAHYDRATE = 11102)","2,800"
"64",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)","6,600"
"65",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BT SUBSP KURSTAKI EVB-113-19 = 6544)","(NA)"
"66",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)","603,100"
"67",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)","(D)"
"68",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)","30,300"
"69",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (DIFENOCONAZOLE = 128847)","(D)"
"70",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (FENHEXAMID = 90209)","8,600"
"71",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)","22,400"
"72",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)","14,600"
"73",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)","7,100"
"74",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (FOSETYL-AL = 123301)","(D)"
"75",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (ISOFETAMID = 270000)","(D)"
"76",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)","7,200"
"77",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)","(D)"
"78",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)","10,800"
"79",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)","4,000"
"80",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000)","3,300"
"81",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)","2,300"
"82",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (PYDIFLUMETOFEN = 90110)","(D)"
"83",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)","10,600"
"84",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)","8,300"
"85",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)","3,600"
"86",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)","1,258,100"
"87",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (TETRACONAZOLE = 120603)","1,300"
"88",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)","10,600"
"89",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (THIRAM = 79801)","269,500"
"90",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","2,338,800"
"91",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)","14,600"
"92",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)","(D)"
"93",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)","(D)"
"94",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)","3,900"
"95",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)","(D)"
"96",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","71,400"
"97",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","89,700"
"98",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)","300"
"99",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (ACEQUINOCYL = 6329)","12,800"
"100",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)","3,300"
"101",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)","2,800"
"102",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (BEAUVERIA BASSIANA = 128924)","(NA)"
"103",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)","28,700"
"104",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENTHRIN = 128825)","4,600"
"105",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAK ABTS-1857 = 6523)","(NA)"
"106",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)","(NA)"
"107",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI SA-11 = 6519)","(NA)"
"108",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (CANOLA OIL = 11332)","(D)"
"109",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)","2,000"
"110",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)","(NA)"
"111",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (CYANTRANILIPROLE = 90098)","1,700"
"112",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (CYFLUMETOFEN = 138831)","7,600"
"113",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (ETOXAZOLE = 107091)","(D)"
"114",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (FENBUTATIN-OXIDE = 104601)","(D)"
"115",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPROPATHRIN = 127901)","6,600"
"116",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPYROXIMATE = 129131)","(D)"
"117",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (FLONICAMID = 128016)","6,200"
"118",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (FLUPYRADIFURONE = 122304)","5,000"
"119",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (HEXYTHIAZOX = 128849)","5,400"
"120",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (IMIDACLOPRID = 129099)","3,100"
"121",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (LAMBDA-CYHALOTHRIN = 128897)","(D)"
"122",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (MALATHION = 57701)","19,400"
"123",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOXYFENOZIDE = 121027)","7,900"
"124",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (NALED = 34401)","(D)"
"125",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (NEEM OIL = 25006)","(D)"
"126",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (NEEM OIL, CLAR. HYD. = 25007)","(D)"
"127",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (NOVALURON = 124002)","5,600"
"128",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (PIPERONYL BUTOXIDE = 67501)","(D)"
"129",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRETHRINS = 69001)","(D)"
"130",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRIDABEN = 129105)","(D)"
"131",2023,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINETORAM = 110007)","3,800"
